DAL,UAL,AAL
12.882854,27.68,10.773742
13.071198,28.370001,10.870279
12.722758,28.209999,10.725471
12.835767,27.73,10.657893
12.694507,27.040001,10.764088
12.355483,25.780001,10.184855
12.336651,25.42,10.590317
12.534413,26.15,10.532393
12.261311,26.1,10.551702
12.317813,25.190001,10.14624
12.308394,24.41,10.165545
11.903455,23.860001,9.789045
11.837533,24.370001,9.77939
11.733943,24.139999,9.711813
11.799863,24.200001,9.82766
11.912871,24.309999,10.155893
11.705692,24.41,9.962814
11.517345,23.41,9.567004
11.724525,23.41,9.528389
11.752777,23.27,9.547697
11.922289,23.459999,9.789045
11.762194,24.01,9.77939
11.865786,23.82,9.663545
11.846951,25.129999,10.281392
11.799863,25.530001,10.252432
12.223642,25.35,10.715818
12.157721,25.75,10.850973
12.242476,25.950001,11.005434
11.865786,26.200001,11.073012
11.630354,25.690001,10.590317
11.781029,25.9,10.503433
11.875202,25.959999,10.513086
12.007045,25.879999,10.416547
11.018229,25.02,9.769736
10.782796,24.379999,9.682851
10.933474,24.18,9.895239
10.867552,23.75,9.489774
11.319583,24.120001,9.750427
10.952307,24.09,9.77939
11.281913,25.790001,10.426201
11.583266,26.959999,10.667548
11.140655,25.85,9.808351
10.989979,25.4,9.57666
11.102983,25.26,9.567004
10.688623,24.76,9.190503
10.858135,25.629999,9.258081
10.735708,25.65,8.920193
10.87697,26.42,9.383581
11.168904,26.75,9.538044
11.055898,26.620001,9.538044
11.008812,26.559999,9.509081
11.206574,27.290001,9.77939
11.131235,26.940001,9.624928
11.206574,27.190001,9.731121
11.131235,27.48,9.750427
10.971143,27.450001,9.57666
10.829883,26.92,9.383581
10.114168,24.440001,8.85262
10.377853,22.780001,8.196154
10.481444,24.110001,8.138229
10.472027,23.950001,8.273383
10.585032,24.040001,8.311999
9.991744,23.02,7.674842
9.558548,22.51,7.694149
9.66214,23.030001,8.070652
9.332535,22.26,7.99342
9.502045,23.309999,8.012729
10.42494,24.780001,8.958809
10.246012,24.33,8.620923
10.52853,24.950001,8.775384
10.575615,24.73,8.862273
10.330767,23.99,8.563001
10.06708,23.610001,8.61127
9.605635,22.83,8.254077
9.285447,22.17,8.196154
9.643303,23.370001,8.649886
9.577383,23.969999,8.85262
9.41729,23.450001,8.591962
9.332535,23.120001,8.427845
9.426707,23.49,8.553347
9.228945,23.51,8.70781
9.332535,23.450001,8.70781
9.219527,22.870001,8.563001
9.360785,23.84,8.659539
9.228945,22.99,8.408539
9.24778,22.940001,8.476115
9.257194,22.75,8.4375
9.134771,21.75,8.157538
9.031179,21.23,8.109267
8.86167,21,7.954804
8.51323,19.790001,7.665187
8.880504,20.52,7.954804
9.323117,21.709999,8.157538
9.021761,21.370001,7.974113
8.805165,20.879999,7.781035
8.710995,21.02,7.809997
8.607402,21.219999,8.04169
8.597986,21.58,7.964458
8.54148,21.030001,7.858266
8.522648,20.84,7.848614
8.475561,22.030001,7.99342
9.407872,22.58,8.495422
9.464375,22.780001,8.447155
9.483211,22.110001,8.466462
